"id","brand"
839,brelil
840,tsg
841,insight
842,elfe
843,designskin
844,hp
845,spiegelau
846,go-sport
847,pemco
848,moulinex
849,casada
850,farmona
851,dermal
852,nixx
853,kyocera
854,blehk
855,lanvin
856,granchio
857,dittmann
858,laurastar
859,osz
860,rondell
861,centara
862,finis
863,linglong
864,president
865,kitchenaid
866,aoc
867,bauer
868,celebrat
869,glasslock
870,shenzhen
871,lenspen
872,xp-pen
873,cilek
874,garmin
875,bykski
876,teorema
877,silverex
878,roca
879,prestigio
880,fender
881,genius
882,cliny
883,amazon
884,nutralash
885,trw
886,zhorka
887,atmor
888,edifier
889,sbs
890,titania
891,isolon
892,marshall
893,versace
894,transcend
895,blackstar
896,apollo
897,bjurokrat
898,fjallraven
899,pocketbook
900,dauscher
901,gtec
902,promtorgservis
903,zhiyun
904,gigabyte
905,speedo
906,hotpoint-ariston
907,ava
908,burton
